,City,Country,Lat,Long,Temp,Humidity,Cloudiness,Windspeed
77,Itoman,JP,26.12,127.67,26.55,94,40,4.1
78,Umm Kaddadah,SD,13.6,26.69,35.85,24,5,1.38
79,Port Hueneme,US,34.15,-119.2,16.32,82,75,2.1
80,Inhambane,MZ,-23.86,35.38,22.89,60,40,3.1
81,Rawson,AR,-43.3,-65.1,9.45,62,72,3.3
82,Marsá Maţrūḩ,EG,31.35,27.25,27.0,65,0,5.7
83,Zyryanovsk,KZ,49.74,84.27,22.51,68,0,0.79
84,Bilibino,RU,68.05,166.44,10.94,86,68,2.48
85,Mount Gambier,AU,-37.83,140.77,8.0,100,41,4.6
86,Wismar,DE,53.9,11.47,25.58,44,99,1.5
87,Ponta do Sol,PT,32.67,-17.1,24.58,69,40,5.1
88,Fairbanks,US,64.84,-147.72,12.88,93,90,3.1
89,Musoma,TZ,-1.5,33.8,25.66,43,20,5.73
90,Vehari,PK,30.03,72.35,41.73,24,8,3.57
91,Cayenne,GF,4.93,-52.33,31.0,62,8,2.6
92,Laguna,US,38.42,-121.42,17.56,72,5,3.1
93,Guymon,US,36.68,-101.48,25.0,57,1,4.6
94,Grand Gaube,MU,-20.01,57.66,20.56,68,1,1.79
95,Puerto Ayora,EC,-0.74,-90.35,20.0,96,99,2.24
96,Shuyskoye,RU,59.37,41.03,19.08,81,7,2.3
97,Bossangoa,CF,6.49,17.46,27.54,84,39,1.19
98,Port-Gentil,GA,-0.72,8.78,27.0,74,75,5.9
99,Saint-François,FR,46.42,3.91,27.64,37,65,4.1
100,Bambous Virieux,MU,-20.34,57.76,20.79,64,40,6.2
101,Ilulissat,GL,69.22,-51.1,12.0,37,20,2.6
102,Lebu,CL,-37.62,-73.65,11.98,86,100,9.1
103,Broome,US,42.25,-75.83,24.93,69,1,2.6
104,Saucillo,MX,28.02,-105.28,27.85,43,50,1.19
105,Katsuura,JP,35.13,140.3,21.63,93,100,8.04
106,Pathein,MM,16.78,94.73,26.94,87,100,1.74
107,Saint George,US,37.1,-113.58,27.72,19,1,2.6
108,Bluff,NZ,-46.6,168.33,2.77,80,0,3.16
109,Cabo San Lucas,MX,22.89,-109.91,28.34,60,66,0.45
110,San Patricio,MX,19.22,-104.7,28.0,83,5,0.58
111,Pandan,PH,14.05,124.17,27.71,80,100,2.58
112,Touros,BR,-5.2,-35.46,24.0,94,90,5.1
113,Impfondo,CG,1.64,18.07,30.03,52,50,0.88
114,Kismayo,SO,-0.36,42.55,25.69,73,79,11.11
115,Saldanha,ZA,-33.01,17.94,19.0,59,0,3.1
116,George Town,MY,5.41,100.34,25.49,94,40,1.5
117,Oistins,BB,13.07,-59.53,31.0,62,40,6.2
118,San Policarpo,PH,12.18,125.51,28.08,79,100,3.11
119,Kaihua,CN,23.37,104.28,20.16,86,100,2.78
120,Tiksi,RU,71.69,128.87,8.95,75,100,5.29
121,Iroquois Falls,CA,48.77,-80.68,23.0,53,75,3.6
122,Provideniya,RU,64.38,-173.3,7.6,86,96,1.97
123,Nishihara,JP,26.18,127.76,26.42,83,40,3.1
124,Chokurdakh,RU,70.63,147.92,6.51,72,0,4.99
125,Kimbe,PG,-5.55,150.14,23.48,91,100,1.35
126,Seondha,IN,26.16,78.78,36.67,40,86,0.67
127,Campbellton,CA,48.01,-66.67,19.84,77,100,2.08
128,Bukachacha,RU,52.98,116.92,15.05,92,100,1.19
129,Tanout,NE,14.97,8.89,33.47,35,60,4.41
130,Shingū,JP,33.73,135.98,21.77,86,100,2.59
131,Rodolfo Sánchez Taboada,MX,31.72,-116.57,18.89,91,2,1.79
132,Mahébourg,MU,-20.41,57.7,21.0,64,40,6.2
133,Hasaki,JP,35.73,140.83,20.91,100,75,0.5
134,Ancud,CL,-41.87,-73.82,8.48,93,90,6.7
135,Kurinjippādi,IN,11.57,79.6,28.95,75,100,2.88
136,Huilong,CN,31.81,121.66,28.55,90,100,2.19
137,Lompoc,US,34.64,-120.46,13.68,93,90,1.5
138,Beisfjord,NO,68.38,17.6,17.0,59,40,6.2
139,Santa Cruz de la Sierra,BO,-17.8,-63.17,26.38,74,20,7.2
140,Kudahuvadhoo,MV,2.67,72.89,28.98,72,99,11.21
141,Rudnogorsk,RU,57.26,103.75,8.52,94,100,1.7
142,Cidreira,BR,-30.18,-50.21,22.13,70,41,4.52
143,Lavrentiya,RU,65.58,-171.0,5.41,79,0,2.61
144,Abu Samrah,SY,35.3,37.18,34.79,18,0,6.79
145,Finschhafen,PG,-6.6,147.87,25.82,84,100,2.29
146,Mildura,AU,-34.2,142.15,6.85,51,52,2.1
147,Nouadhibou,MR,20.93,-17.03,24.0,78,20,8.7
148,Klaksvík,FO,62.23,-6.59,10.0,93,97,6.7
149,Avarua,CK,-21.21,-159.78,19.0,77,51,1.5
150,Matara,LK,5.95,80.54,26.97,83,82,4.37
151,Goma,CD,-1.68,29.22,20.0,60,75,5.1
152,Souillac,MU,-20.52,57.52,21.0,64,40,6.2
153,Potiskum,NG,11.71,11.07,31.18,47,13,4.63
154,Ihosy,MG,-22.4,46.12,14.36,73,0,5.57
155,San José de Ocoa,DO,18.55,-70.5,31.0,66,40,2.1
156,Ostrovnoy,RU,68.05,39.51,21.9,49,54,2.73
157,Praia da Vitória,PT,38.73,-27.07,23.0,78,40,5.05
158,Taltal,CL,-25.4,-70.48,17.54,50,15,1.58
159,Andenes,NO,69.31,16.12,14.0,76,25,2.6
160,Nokaneng,BW,-19.67,22.27,23.48,20,0,4.82
161,Elko,US,41.0,-115.5,21.19,29,0,0.45
162,Cervo,ES,43.67,-7.41,32.22,40,0,4.47
163,Dudinka,RU,69.41,86.18,12.0,76,75,3.0
164,Cherskiy,RU,68.75,161.3,10.31,83,0,1.35
165,Maceió,BR,-9.67,-35.74,27.0,65,75,7.2
166,Tomatlán,MX,19.93,-105.25,28.15,71,14,0.73
167,Sur,OM,22.57,59.53,32.1,60,100,2.87
168,Sorong,ID,-0.88,131.25,25.52,85,43,3.78
169,Dunedin,NZ,-45.87,170.5,6.67,82,3,9.83
170,Samarai,PG,-10.62,150.67,24.62,85,100,5.89
171,Padang,ID,-0.95,100.35,25.0,88,40,3.1
172,Port Augusta,AU,-32.5,137.77,7.53,87,34,2.6
173,Yellowknife,CA,62.46,-114.35,17.82,63,20,2.1
174,Truro,GB,50.27,-5.05,19.0,82,84,6.7
175,Kiunga,PG,-6.12,141.29,22.58,98,100,1.87
176,Alofi,NU,-19.06,-169.92,23.0,88,59,2.6
177,Dakar,SN,14.69,-17.44,30.0,70,40,8.2
178,Lorengau,PG,-2.02,147.27,27.3,78,100,3.22
179,São Filipe,CV,14.9,-24.5,24.69,72,26,5.51
180,Caravelas,BR,-17.71,-39.25,24.37,54,94,3.15
181,Pangnirtung,CA,66.15,-65.71,8.0,81,90,4.6
182,Lugo,ES,43.0,-7.5,34.02,39,0,3.13
183,Cape Town,ZA,-33.93,18.42,17.85,68,1,4.6
184,Asău,RO,46.43,26.4,25.36,57,20,1.0
185,Tacuarembó,UY,-31.73,-55.98,21.39,75,97,4.53
186,Champerico,GT,14.3,-91.92,27.0,74,75,0.99
187,Aripuanã,BR,-9.17,-60.63,34.05,34,0,1.67
188,Presidente Médici,BR,-11.18,-61.9,35.58,32,0,0.74
189,Chu,KZ,43.6,73.76,32.7,17,100,4.19
190,Iqaluit,CA,63.75,-68.51,8.0,93,90,5.1
191,Nsanje,MW,-16.92,35.26,21.81,70,49,3.14
192,Srednekolymsk,RU,67.45,153.68,7.46,86,0,2.75
193,Portales,US,34.19,-103.33,28.05,50,40,3.6
194,Nanortalik,GL,60.14,-45.24,10.03,63,38,3.03
195,Bredasdorp,ZA,-34.53,20.04,20.0,56,0,10.8
196,Price,US,39.6,-110.81,22.0,35,1,1.5
197,Hauterive,FR,46.09,3.45,26.95,36,20,4.1
198,Ulladulla,AU,-35.35,150.47,7.42,81,100,4.1
199,Fortuna,US,40.6,-124.16,11.37,93,1,0.67
200,São Raimundo Nonato,BR,-9.02,-42.7,30.41,34,3,5.52
201,Lethem,GY,3.38,-59.8,29.91,66,16,2.57
202,Flin Flon,CA,54.77,-101.86,15.0,93,90,4.1
203,Coquimbo,CL,-29.95,-71.34,11.0,76,100,2.6
204,Batagay-Alyta,RU,67.8,130.41,12.23,93,100,0.97
205,Alice Springs,AU,-23.7,133.88,10.0,27,0,1.5
206,Mola di Bari,IT,41.06,17.09,23.9,100,30,2.68
207,Rio Grande,BR,-32.03,-52.1,25.57,69,37,3.6
208,Brae,GB,60.4,-1.35,14.0,76,74,8.2
209,Bethel,US,41.37,-73.41,26.63,54,1,2.1
210,Ciudad Bolivar,VE,8.12,-63.55,30.15,64,67,3.6
211,Yining,CN,29.04,114.56,26.14,86,100,1.14
212,Constitución,CL,-35.33,-72.42,13.6,87,100,8.19
213,Norrtälje,SE,59.76,18.7,22.39,67,67,4.92
214,Hamilton,US,39.18,-84.53,28.99,74,20,1.5
215,Murgab,TM,37.5,61.97,40.0,13,0,5.1
216,Vao,NC,-22.67,167.48,20.92,71,16,6.37
217,Atambua,ID,-9.11,124.89,20.28,79,100,2.08
218,Wagar,SD,16.15,36.2,39.13,20,97,2.66
219,Taoudenni,ML,22.68,-3.98,45.06,9,35,2.99
220,Stornoway,GB,58.21,-6.39,12.55,87,68,7.7
221,Jinji,CN,23.23,110.83,27.57,79,100,1.45
222,Vágur,FO,61.47,-6.81,10.96,84,39,10.6
223,Narsaq,GL,60.92,-46.05,18.0,34,40,2.1
224,Zhigansk,RU,66.77,123.37,11.89,92,56,1.74
225,Río Cuarto,AR,-33.13,-64.35,12.0,66,45,2.1
226,Richards Bay,ZA,-28.78,32.04,20.92,37,0,4.25
227,Marawi,PH,8.0,124.29,25.56,85,92,2.68
228,Ucluelet,CA,48.93,-125.55,13.21,100,75,1.0
229,Acaraú,BR,-2.89,-40.12,30.46,57,9,6.28
230,Churapcha,RU,62.0,132.43,19.55,95,52,3.36
231,Kavieng,PG,-2.57,150.8,27.81,75,100,5.14
232,Sakakah,SA,29.97,40.21,44.0,7,0,4.6
233,Butler,US,39.45,-84.57,28.78,78,1,1.5
234,Deputatsky,RU,69.3,139.9,7.12,71,98,3.4
235,Nizhniy Odes,RU,63.64,54.86,22.78,52,2,2.45
236,Ocampo,MX,21.65,-101.5,16.76,66,47,1.71
237,Lixouri,GR,38.2,20.43,29.0,48,20,5.7
238,Arraial do Cabo,BR,-22.97,-42.03,24.0,64,40,6.7
239,Kavaratti,IN,10.57,72.64,28.2,78,64,8.54
240,Longyearbyen,SJ,78.22,15.64,10.0,66,75,8.2
241,Hualmay,PE,-11.1,-77.61,17.73,69,52,3.34
242,Leningradskiy,RU,69.38,178.42,2.24,88,99,5.25
243,Khuzdar,PK,27.74,66.64,32.49,35,26,5.55
244,Salalah,OM,17.02,54.09,29.0,83,90,2.1
245,Kempele,FI,64.91,25.5,20.56,60,100,3.1
246,Panalingaan,PH,8.78,117.42,26.69,80,71,1.2
247,Nampula,MZ,-15.12,39.27,21.19,61,39,3.52
248,Cockburn Town,TC,21.46,-71.14,28.38,75,10,7.03
249,Batagay,RU,67.63,134.63,20.59,35,100,3.15
250,Pisco,PE,-13.7,-76.22,16.86,72,75,0.5
251,Maragogi,BR,-9.01,-35.22,26.04,71,68,6.23
252,Bathsheba,BB,13.22,-59.52,31.0,62,40,6.2
253,Pitimbu,BR,-7.47,-34.81,24.0,94,90,3.1
254,General Roca,AR,-39.03,-67.58,10.0,76,72,1.0
255,Atar,MR,20.52,-13.05,42.69,13,18,2.15
256,Prince Rupert,CA,54.32,-130.32,13.0,93,100,5.1
257,Slave Lake,CA,55.28,-114.77,14.0,87,90,8.7
258,Cap Malheureux,MU,-19.98,57.61,20.56,68,1,1.79
259,San Clemente,US,33.43,-117.61,18.38,86,0,2.18
260,Kruisfontein,ZA,-34.0,24.73,16.21,50,0,3.83
261,Yenagoa,NG,4.92,6.26,25.18,87,100,3.09
262,Comodoro Rivadavia,AR,-45.87,-67.5,6.0,52,40,3.1
263,Salé,MA,34.04,-6.82,27.74,65,10,4.6
264,Acurenam,GQ,1.03,10.65,23.29,86,98,1.66
265,Huarmey,PE,-10.07,-78.15,18.44,68,38,3.02
266,Cradock,ZA,-32.16,25.62,19.12,20,0,4.96
267,Aranos,NA,-24.13,19.12,22.44,18,0,5.63
268,Nantucket,US,41.28,-70.1,22.9,88,40,2.1
269,Fukuechō,JP,32.69,128.84,24.08,88,100,2.99
270,Tiarei,PF,-17.53,-149.33,22.78,88,84,5.36
271,Dingle,PH,11.0,122.67,25.79,84,100,2.27
272,Yaan,NG,7.38,8.57,27.54,78,66,2.09
273,Nuuk,GL,64.18,-51.72,15.0,51,20,1.5
274,Parry Sound,CA,45.35,-80.03,23.33,83,51,0.89
275,Vestmannaeyjar,IS,63.44,-20.27,12.0,58,4,11.3
276,Lilongwe,MW,-13.97,33.79,20.0,40,20,5.1
277,Beïnamar,TD,8.67,15.38,28.16,74,33,2.07
278,Coyhaique,CL,-45.58,-72.07,1.0,86,90,1.5
279,Saint Anthony,US,45.02,-93.22,23.05,78,40,4.1
280,Buala,SB,-8.14,159.59,26.78,81,84,2.87
281,Pinawa,CA,50.15,-95.88,21.45,75,86,4.84
282,Doumé,CM,4.23,13.45,26.45,72,45,1.5
283,La Palma,US,33.85,-118.05,19.16,72,1,1.6
284,Mil'kovo,RU,54.72,158.62,10.95,85,95,2.06
285,Isabela,PH,6.71,121.97,25.93,83,66,1.69
286,Porto Santo,PT,33.07,-16.34,23.0,73,20,7.2
287,Kangaatsiaq,GL,68.31,-53.46,9.87,61,92,4.71
288,Cabedelo,BR,-6.98,-34.83,24.0,94,90,3.1
289,Aden,YE,12.78,45.04,32.69,60,100,3.34
290,Wuhu,CN,31.34,118.38,24.0,100,90,1.0
291,Gallatin,US,45.67,-111.2,15.75,48,1,0.97
292,Zhangaözen,KZ,43.3,52.8,34.72,22,28,6.76
293,Alyangula,AU,-13.85,136.42,16.0,93,75,2.99
294,Florianópolis,BR,-27.61,-48.5,21.55,73,0,6.2
295,Mahon,ES,39.89,4.27,24.0,69,75,3.1
296,Krasnosel'kup,RU,65.7,82.47,14.87,63,96,1.73
297,Boguchany,RU,58.38,97.45,11.56,62,82,2.88
298,Weligama,LK,5.97,80.42,27.1,83,84,4.72
299,Petropavlovka,RU,50.61,105.32,11.99,83,79,1.48
300,Zemio,CF,5.03,25.14,25.2,82,97,1.75
301,Mauá,BR,-23.67,-46.46,20.1,64,0,3.6
302,Hurghada,EG,27.26,33.81,36.0,23,0,5.1
303,Juba,SS,4.85,31.58,24.75,68,96,3.59
304,Vanimo,PG,-2.67,141.3,25.9,81,100,0.97
305,Waddān,LY,29.16,16.14,38.93,19,0,3.43
306,Daulatpur,PK,26.5,67.97,35.0,56,40,5.1
307,Havre-St-Pierre,CA,50.23,-63.6,18.0,77,90,3.1
308,Esperance,AU,-33.87,121.9,11.0,93,90,2.1
309,Bagdarin,RU,54.43,113.6,14.09,64,100,1.42
310,Youghal,IE,51.95,-7.85,17.49,67,75,3.6
311,Moose Factory,CA,51.26,-80.61,23.0,69,1,2.6
312,Tolaga Bay,NZ,-38.37,178.3,12.38,83,98,4.66
313,Sørland,NO,67.67,12.69,12.69,85,4,3.53
314,Synya,RU,65.37,58.04,20.83,73,33,2.21
315,Dapaong,TG,10.86,0.2,29.44,60,55,4.26
316,Bolivar,US,37.61,-93.41,26.51,80,94,6.51
317,Warrington,GB,53.39,-2.58,16.04,93,75,4.1
318,Saskylakh,RU,71.92,114.08,9.76,69,89,5.63
319,Yunyang,CN,33.45,112.71,21.84,92,100,2.13
320,Okahandja,NA,-21.98,16.92,23.0,11,0,4.6
321,Lerwick,GB,60.15,-1.15,14.0,76,69,8.2
322,Marsh Harbour,BS,26.54,-77.06,28.2,79,61,7.0
323,Bayan,CN,46.08,127.4,22.78,74,42,2.24
324,Manicoré,BR,-5.81,-61.3,35.02,45,20,0.61
325,Shepsi,RU,44.04,39.15,25.8,70,12,3.28
326,Fort Nelson,CA,58.81,-122.7,14.0,87,75,2.1
327,Khovd,MN,48.01,91.64,21.58,42,44,0.85
328,Kuching,MY,1.55,110.33,25.79,88,20,1.5
329,Sabang,ID,5.89,95.32,28.88,70,28,1.98
330,São Pedro do Sul,BR,-29.62,-54.18,25.52,64,0,5.44
331,Kerrville,US,30.05,-99.14,25.73,69,75,3.6
332,Port Hedland,AU,-20.32,118.57,19.0,63,99,7.7
333,Alexandria,EG,31.22,29.96,29.0,62,20,6.7
334,Notre-Dame-du-Lac,CA,47.61,-68.8,22.11,83,90,1.5
335,Vaitape,PF,-16.52,-151.75,24.55,82,89,10.31
336,College,US,64.86,-147.8,12.89,87,75,1.29
337,Port Lincoln,AU,-34.73,135.87,11.83,78,20,5.64
338,Nabire,ID,-3.37,135.48,23.36,86,100,1.33
339,Shwebo,MM,22.57,95.7,26.15,93,100,5.13
340,Lüderitz,NA,-26.65,15.16,21.82,23,0,1.66
341,Kānke,IN,23.43,85.32,26.0,94,90,2.1
342,Xambioá,BR,-6.41,-48.54,32.99,33,0,3.97
343,Bac Lieu,VN,9.29,105.72,28.22,75,93,2.25
344,Dhidhdhoo,MV,6.88,73.1,28.73,73,100,9.23
345,Kittery,US,43.09,-70.74,28.9,65,1,3.1
346,Crotone,IT,39.09,17.12,22.0,78,40,3.1
347,Vyazemskiy,RU,47.54,134.75,21.72,88,15,1.33
348,Bulgan,MN,48.81,103.53,12.06,81,7,1.27
349,Province of Mantua,IT,45.17,10.78,27.82,40,0,1.34
350,Esim,GH,4.87,-2.24,26.7,74,67,4.04
351,Springbok,ZA,-29.66,17.89,18.96,25,0,4.08
352,Tubualá,PA,9.52,-79.03,28.22,78,40,1.5
353,Yeppoon,AU,-23.13,150.73,10.0,87,0,2.28
354,Lamu,KE,-2.27,40.9,24.97,72,99,10.92
355,Ola,RU,59.58,151.28,10.82,80,77,1.76
356,Sarh,TD,9.14,18.39,29.0,54,20,4.1
357,Nambour,AU,-26.63,152.95,10.77,93,7,1.22
358,Koné,NC,-21.06,164.87,16.41,74,0,1.13
359,Hambantota,LK,6.12,81.12,27.0,88,40,1.5
360,Kitimat,CA,54.05,-128.65,12.78,95,100,0.45
361,Les Cayes,HT,18.2,-73.75,29.87,65,58,4.05
362,Necochea,AR,-38.55,-58.74,12.78,89,100,1.34
363,Guerrero Negro,MX,27.98,-114.06,22.66,67,0,5.1
364,Mayna,RU,54.11,47.62,20.2,81,98,1.98
365,Half Moon Bay,US,37.46,-122.43,15.64,93,90,2.61
366,Tocopilla,CL,-22.09,-70.2,18.36,43,6,4.43
367,Sayán,PE,-11.14,-77.19,23.42,29,0,2.89
368,Yerbogachën,RU,61.28,108.01,10.2,93,97,1.63
369,Manta,EC,-0.95,-80.73,24.0,83,75,3.6
370,Assiut,EG,27.18,31.18,36.0,22,0,6.2
371,Talnakh,RU,69.49,88.4,12.0,76,75,3.0
372,Mmabatho,ZA,-25.85,25.63,23.0,8,0,1.0
373,Mackenzie,CA,55.3,-123.17,13.0,71,1,4.1
374,Linqiong,CN,30.42,103.46,24.0,73,40,3.08
375,Tres Arroyos,AR,-38.37,-60.28,14.45,66,100,1.85
376,Mandalgovi,MN,45.76,106.27,16.44,47,55,3.11
377,Marzuq,YE,14.4,46.47,34.21,20,100,5.19
378,Sangar,RU,63.92,127.47,14.07,99,54,1.8
379,Boyolangu,ID,-8.12,111.89,22.62,86,94,1.05
380,San Miguel,SV,13.48,-88.18,29.0,79,0,1.0
381,Carnarvon,AU,-24.87,113.63,13.0,71,0,4.6
382,Kiryat Gat,IL,31.61,34.76,28.69,59,0,0.45
383,Shubarshi,KZ,48.59,57.19,35.76,12,79,3.82
384,Kargat,RU,55.2,80.28,18.27,80,55,2.99
385,Severo-Kuril'sk,RU,50.68,156.12,8.92,89,49,4.89
386,Belaya Gora,RU,68.53,146.42,10.76,57,64,3.07
387,Sheridan,US,44.83,-106.92,21.28,46,1,2.6
388,Zheleznodorozhnyy,RU,55.75,38.0,18.08,82,75,3.0
389,Sitka,US,57.05,-135.33,13.0,93,90,2.6
390,Bubaque,GW,11.28,-15.83,26.36,83,95,6.94
391,Roald,NO,62.58,6.13,14.68,87,75,7.2
392,Kriel,ZA,-26.27,29.23,20.0,14,0,0.45
393,La Unión,PE,-5.4,-80.75,19.84,68,83,4.1
394,Lashio,MM,22.93,97.75,21.53,98,100,0.44
395,Inverness,GB,57.48,-4.22,16.94,48,20,9.8
396,Tara,RU,56.89,74.37,23.95,86,81,3.25
397,Taquari,BR,-29.8,-51.86,27.04,60,23,2.65
398,Invermere,CA,50.52,-116.04,13.33,75,1,0.45
399,Bara,NG,10.37,10.73,30.19,56,79,2.49
400,Camacha,PT,33.08,-16.33,23.0,73,20,7.2
401,Labuhan,ID,-6.88,112.21,25.23,75,33,4.17
402,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,12.0,93,19,2.0
403,Egvekinot,RU,66.32,-179.17,4.43,88,48,3.47
404,Salinópolis,BR,-0.61,-47.36,29.81,61,1,3.79
405,Bartica,GY,6.4,-58.62,29.0,79,40,3.1
406,Makkah al Mukarramah,SA,21.43,39.83,38.89,12,100,8.34
407,Puerto Ayacucho,VE,5.66,-67.62,26.0,83,40,1.0
408,Bhaderwah,IN,32.98,75.72,21.48,71,16,1.01
409,Poum,NC,-20.23,164.02,21.1,69,4,3.14
410,San Jose,US,37.34,-121.89,15.89,82,20,3.1
411,Lansing,US,42.73,-84.56,26.75,65,1,6.2
412,Avera,US,33.19,-82.53,30.52,58,1,2.1
413,Meulaboh,ID,4.14,96.13,26.66,82,100,1.58
414,Wewak,PG,-3.55,143.63,24.39,86,100,3.77
415,Rawlins,US,41.79,-107.24,23.93,28,1,7.7
416,Mitsamiouli,KM,-11.38,43.28,26.0,65,75,4.6
417,Baharly,TM,38.44,57.43,38.68,12,0,3.21
418,Capão da Canoa,BR,-29.75,-50.01,20.04,78,43,4.11
419,Pangoa,PE,-12.12,-73.0,28.42,51,11,0.95
420,Galle,LK,6.04,80.22,27.6,82,95,5.75
421,Sālūr,IN,18.53,83.22,28.09,82,95,0.42
422,Worcester,US,42.33,-71.83,27.27,65,1,3.1
423,Karibib,NA,-21.93,15.83,25.11,16,0,7.64
424,Nelspruit,ZA,-25.47,30.97,22.0,18,0,3.6
425,Fort Portal,UG,0.66,30.27,19.3,61,87,1.03
426,Tadine,NC,-21.55,167.88,18.9,64,0,1.81
427,Hūn,LY,29.13,15.95,39.06,18,0,3.49
428,Shimoda,JP,34.67,138.95,19.44,96,100,3.85
429,Peñarroya-Pueblonuevo,ES,38.3,-5.27,37.14,25,0,6.2
430,Gornopravdinsk,RU,60.05,69.9,27.06,56,0,2.74
431,Sri Aman,MY,1.24,111.46,25.0,100,86,0.32
